sample_num,sample_name_raw,sample_is_extra,sample_date,plot,treatment,treatment_raw,depth,sample_run_n,sample_first_run,sample_last_run,total_peak_area_mean,total_peak_area_sd,formula_detected_n_mean,formula_detected_n_sd,delGcat_wmean,delGcat_wmean_sd,lambda_wmean,lambda_wmean_sd,cue_wmean,cue_wmean_sd,nosc_wmean,nosc_wmean_sd,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing
1,1,FALSE,2017-05-31,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,9902666344.73466,752012037.700673,276.5,54.4472221513642,-11865.8419313681,318.714631261378,0.0424801174699765,0.000359521888626821,0.547208178172705,0.000328758296117282,-0.545602629877936,0.00380338251881155,102.966577619029,1.24404533230283,0.330467729536626,0.627752677585758,0.0455194749466982,0.265267726953799,0,0.0997514129277537,0.0442015462214106,0.289754483778824
2,2,FALSE,2017-12-06,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,19830518948.834,2975186872.26163,699,19.7989898732233,-12714.2819073257,90.2426596746196,0.0385815526721517,0.000380197823337507,0.538561811832524,0.000684485185311606,-0.458893915926904,0.00695539151396192,110.050580100941,1.18424215228174,0.348682890344048,0.711214760351315,0.0589523468369017,0.209039614735882,0,0.0727696389438426,0.0122773290563641,0.224851815566378
3,3,FALSE,2018-05-09,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,13372861310.8305,2210264501.77106,802.5,21.920310216783,-13751.6801083382,360.78244328599,0.037801135706209,0.00028846253595004,0.539875480669829,0.00139476138449418,-0.471272145355976,0.0139037711729638,119.1754556705,1.1667886779195,0.328526830923473,0.636004418800174,0.0802960823108349,0.227170474158379,0,0.125100334388043,0.029779333811189,0.268332671470917
4,4,FALSE,2018-05-22,1,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,13528684427.1674,703851665.667284,246,5.29150262212918,-11600.2390646243,135.833250259994,0.0409560901548869,0.000518248358245115,0.549635465727677,0.00116285880922135,-0.56898203542009,0.0116118020506671,100.702845744421,1.25526937970418,0.325187536532916,0.630306617431209,0.0314932013493183,0.3042797464211,0,0.056336659106696,0.0277425674138329,0.319534590846634
5,5,FALSE,2018-10-10,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,13882927195.8027,2104485947.68567,324,24.0416305603426,-12082.1375660109,70.7043005571056,0.0389511083059221,0.000105355882807936,0.547783011662214,0.00234833231934404,-0.550029871208958,0.0236372938353176,104.814034555814,1.24094750879433,0.326277197775688,0.624603233850333,0.039164606759989,0.265408017008817,0,0.0921937773991344,0.0562553029979158,0.297771828133477
6,6,FALSE,2018-11-07,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,11949625931.1092,2812055324.74384,424.5,19.0918830920368,-13262.0898692301,386.793845614733,0.0366751528109065,0.000365313491127865,0.544076590870285,0.00103511635711208,-0.51382618944704,0.011369240273903,114.991279342807,1.17598346428839,0.311000486244199,0.623666074812958,0.0595779671446719,0.245195929074698,0.000675186126232034,0.121952355822108,0.0388287573888827,0.287096625812295
7,7,FALSE,2019-09-10,1,control,Control treatment,0-10 cm,4,2024-10-08,2024-10-24,23164943646.0711,5395551292.2771,759,38.8672955923958,-13225.4176200098,650.750861100155,0.0368478593781669,0.00106224156919255,0.539399204339074,0.000435867029693701,-0.466663591012126,0.00457562149517002,114.530643323045,1.1718669001494,0.335339674940545,0.669330402703712,0.0596019623760349,0.216598356240215,0.000310426701885885,0.095128417668842,0.0281443317950585,0.262322764217589
8,8,FALSE,2019-12-03,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,22333085313.7217,2443602486.22835,463,5.65685424949238,-12511.99484806,71.8770766158909,0.0379357905567534,5.47078537975176e-06,0.53621893092898,0.000407270462009586,-0.432418922262138,0.00395922583076566,108.093986540079,1.16586199053029,0.3529660212276,0.691995806587238,0.017561621295703,0.257492164249515,0,0.042947748378226,0.00889095964802576,0.289881229394847
9,9,FALSE,2020-01-28,1,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,44816560646.1898,4128955521.12007,1009.33333333333,107.704843592725,-11977.4352608239,416.080909452158,0.0405281986009453,0.000876627685204428,0.526317762810074,0.00125000361791399,-0.332649573254177,0.0127765583235609,103.163908366063,1.17415932261401,0.40866238038717,0.757005368853087,0.0409546028559164,0.17401228084631,0,0.0561265815793221,0.0145198850872126,0.200957146679307
10,10,FALSE,2021-12-15,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,20527934206.5997,2801682542.34055,532.5,3.53553390593274,-14142.8646993166,38.3097763149741,0.0350146030441016,0.000345893688027102,0.546636873688872,0.00133857992386385,-0.539587225939646,0.0127069444372426,122.790036764798,1.07100894199224,0.231687850460885,0.386497605090723,0.129237408617817,0.450452300033165,0,0.149670010262628,0.0157642465753908,0.482859250087522
11,11,FALSE,2022-08-23,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,14131671688.7919,448043362.424634,606.5,19.0918830920368,-15499.992124976,162.070960496099,0.0332703775617159,0.000320815772539867,0.545881308231189,4.57644389096956e-05,-0.53101669011027,0.00105488034387184,134.581210746252,1.02430330614605,0.214508733110686,0.395542111731897,0.108813336015404,0.425607067252914,0,0.17234045140947,0.0213221910065703,0.488697228958852
